epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05043,1.66074,3.91307,1.30634,0.00369,0.84087,0.02755,0.01609,1.44862,3.58424,1.18384,0.0955,0.0005,0.0005
2,11.9237,1.59741,3.8625,1.26528,0.00352,0.74489,0.02999,0.01738,1.4309,3.56638,1.17679,0.0900927,0.00109274,0.00109274
3,15.9861,1.53398,3.20102,1.27659,0.00362,0.71274,0.08461,0.0526,1.36513,3.3054,1.12462,0.0846776,0.00167756,0.00167756
4,19.9899,1.51387,1.9707,1.22751,0.00397,0.88818,0.16465,0.09198,1.35006,3.20776,1.09179,0.0792545,0.00225446,0.00225446
5,23.8468,1.39789,1.62238,1.1318,0.00409,0.93724,0.29562,0.16082,1.32732,3.16598,1.0765,0.0738234,0.00282344,0.00282344
6,27.6514,1.3754,1.47482,1.12265,0.00458,0.94808,0.36178,0.2017,1.3145,3.16355,1.07213,0.0683845,0.0033845,0.0033845
7,31.4128,1.32977,1.3221,1.10702,0.00765,0.95679,0.48051,0.26189,1.33874,3.14247,1.0807,0.0629376,0.00393764,0.00393764
8,35.1083,1.28337,1.21017,1.09985,0.00805,0.95625,0.64822,0.34039,1.32048,3.0941,1.08213,0.0574829,0.00448286,0.00448286
9,38.8655,1.27984,1.20474,1.09933,0.00833,0.96514,0.78201,0.40501,1.35879,2.91906,1.08832,0.0520202,0.00502016,0.00502016
10,42.5841,1.26111,1.10194,1.09025,0.0085,0.97919,0.82828,0.41532,1.36321,2.81164,1.09589,0.0465495,0.00554954,0.00554954
11,46.3415,1.2351,1.04816,1.07772,0.90538,0.5287,0.8446,0.42713,1.36013,2.77497,1.09864,0.041071,0.006071,0.006071
12,50.0579,1.19071,1.01485,1.07247,0.99662,0.12536,0.77381,0.40406,1.41473,2.40872,1.12243,0.0355845,0.00658454,0.00658454
13,53.7464,1.1868,1.00816,1.0844,1,0.18141,0.79705,0.43721,1.36163,2.29393,1.11192,0.0300902,0.00709016,0.00709016
14,57.5241,1.17988,0.94035,1.05863,1,0.17139,0.85953,0.46293,1.38869,2.3128,1.13058,0.0245879,0.00758786,0.00758786
15,61.2675,1.1758,0.91678,1.07156,0.96014,0.3465,0.88944,0.46508,1.45444,2.176,1.17054,0.0190776,0.00807764,0.00807764
16,65.0694,1.15573,0.90914,1.0616,0.94344,0.50744,0.89776,0.48479,1.40428,1.97518,1.15459,0.0135595,0.0085595,0.0085595
17,68.8023,1.0849,0.92972,1.04791,0.96709,0.56989,0.93411,0.54704,1.32081,1.85054,1.09493,0.008944,0.008944,0.008944
18,72.5397,1.07833,0.89875,1.05275,0.95928,0.63328,0.93373,0.53458,1.39868,1.65143,1.1214,0.008878,0.008878,0.008878
19,76.2807,1.12648,0.83911,1.04539,0.96332,0.88248,0.94426,0.56019,1.31288,1.47129,1.12306,0.008812,0.008812,0.008812
20,80.0293,1.05164,0.79447,1.02003,0.95648,0.8487,0.94878,0.51436,1.42225,1.54144,1.15743,0.008746,0.008746,0.008746
21,83.6829,1.08959,0.7755,1.04107,0.9356,0.91195,0.94811,0.53284,1.36805,1.31683,1.17597,0.00868,0.00868,0.00868
22,87.399,1.07671,0.74538,1.03529,0.95364,0.93955,0.96025,0.55384,1.3176,1.17865,1.16866,0.008614,0.008614,0.008614
23,91.0631,1.05631,0.73978,1.04622,0.93768,0.94025,0.95707,0.52637,1.35906,1.04104,1.19333,0.008548,0.008548,0.008548
24,94.7239,1.01028,0.72212,1.01348,0.95225,0.93209,0.97204,0.57902,1.30835,1.1542,1.131,0.008482,0.008482,0.008482
25,98.4847,1.02791,0.78662,1.0106,0.96566,0.94451,0.96245,0.58391,1.29769,1.00798,1.12744,0.008416,0.008416,0.008416
26,102.12,0.98458,0.70109,1.00192,0.95783,0.93413,0.96176,0.57426,1.27501,0.89472,1.12011,0.00835,0.00835,0.00835
27,105.763,1.00011,0.67246,1.00154,0.97033,0.94682,0.96602,0.55479,1.34224,0.928,1.13955,0.008284,0.008284,0.008284
28,109.49,0.97416,0.67639,1.00283,0.97018,0.94799,0.96546,0.59622,1.26268,0.81853,1.1144,0.008218,0.008218,0.008218
29,113.145,0.96292,0.65911,0.99389,0.97856,0.95275,0.96927,0.59432,1.26563,0.84714,1.0894,0.008152,0.008152,0.008152
30,116.722,0.92213,0.65303,0.98676,0.97496,0.93064,0.9613,0.54937,1.3588,0.89726,1.12269,0.008086,0.008086,0.008086
31,120.328,0.9672,0.65467,0.99248,0.97097,0.94708,0.97624,0.60235,1.24774,0.81484,1.08078,0.00802,0.00802,0.00802
32,123.991,0.96324,0.62933,0.9936,0.96541,0.94082,0.96517,0.60571,1.2288,0.78719,1.08159,0.007954,0.007954,0.007954
33,127.622,0.96793,0.62265,1.00078,0.94949,0.9357,0.96068,0.60757,1.20133,0.73631,1.07317,0.007888,0.007888,0.007888
34,131.293,0.91679,0.59291,0.97878,0.95999,0.9438,0.95674,0.57668,1.31133,0.76729,1.10165,0.007822,0.007822,0.007822
35,134.933,0.9504,0.5981,0.99253,0.96207,0.95396,0.96972,0.61559,1.22273,0.74357,1.08395,0.007756,0.007756,0.007756
36,138.651,0.94015,0.58942,0.98332,0.9699,0.94911,0.97711,0.61821,1.22448,0.69764,1.10018,0.00769,0.00769,0.00769
37,142.267,0.88508,0.58602,0.977,0.9572,0.94025,0.9675,0.58301,1.22074,0.68735,1.10501,0.007624,0.007624,0.007624
38,145.823,0.90003,0.58234,0.98353,0.96318,0.93918,0.9735,0.62434,1.18442,0.67719,1.07667,0.007558,0.007558,0.007558
39,149.477,0.92675,0.58192,0.99334,0.97113,0.93154,0.95575,0.59764,1.20729,0.66272,1.09827,0.007492,0.007492,0.007492
40,153.132,0.89033,0.57734,0.97651,0.96316,0.94413,0.95477,0.60049,1.22828,0.67195,1.09695,0.007426,0.007426,0.007426
41,156.786,0.88226,0.56737,0.9706,0.95352,0.94433,0.96008,0.61374,1.24788,0.67702,1.08997,0.00736,0.00736,0.00736
42,160.381,0.8981,0.56205,0.9761,0.96813,0.94137,0.96615,0.59693,1.26537,0.66167,1.09405,0.007294,0.007294,0.007294
43,164.083,0.88613,0.55641,0.97794,0.97373,0.94204,0.96188,0.62337,1.19488,0.6227,1.08238,0.007228,0.007228,0.007228
44,167.77,0.90444,0.55148,0.96602,0.97577,0.95749,0.97579,0.61582,1.19478,0.62352,1.08079,0.007162,0.007162,0.007162
45,171.364,0.87075,0.54182,0.96739,0.98162,0.96371,0.97766,0.61895,1.18589,0.61575,1.09118,0.007096,0.007096,0.007096
46,174.935,0.8512,0.53644,0.95637,0.96832,0.94185,0.95739,0.62115,1.18287,0.6158,1.09653,0.00703,0.00703,0.00703
47,178.5,0.84159,0.52814,0.96032,0.97855,0.95536,0.9699,0.62893,1.19004,0.63762,1.08347,0.006964,0.006964,0.006964
48,182.148,0.88423,0.56595,0.97365,0.97849,0.93829,0.96275,0.61158,1.1937,0.60536,1.09695,0.006898,0.006898,0.006898
49,185.743,0.86674,0.54008,0.95961,0.97749,0.9463,0.97892,0.63709,1.16065,0.61183,1.07705,0.006832,0.006832,0.006832
50,189.401,0.84983,0.53077,0.96202,0.97387,0.94967,0.97914,0.638,1.1809,0.60124,1.07532,0.006766,0.006766,0.006766
51,193.032,0.87454,0.53694,0.97236,0.97806,0.9542,0.97233,0.63638,1.18727,0.59289,1.0728,0.0067,0.0067,0.0067
52,196.572,0.85762,0.52367,0.96248,0.96761,0.94904,0.97534,0.64039,1.2134,0.58522,1.07496,0.006634,0.006634,0.006634
53,200.17,0.84576,0.51826,0.96679,0.98262,0.95074,0.98422,0.63672,1.23552,0.60748,1.08909,0.006568,0.006568,0.006568
54,203.709,0.82236,0.50828,0.95999,0.97822,0.94718,0.9788,0.64765,1.17552,0.60366,1.07569,0.006502,0.006502,0.006502
